Promedio horarios de coPromedio horarios de co
Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IMP,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
20-05-2007,14,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.10,nr,0.7,nr,1.2,nr,nr,1.00,nr,0.70,0.6,0.60,nr,nr,1.2,nr,nr,1.0,nr,0.60,0.50,nr,nr,0.10,nr,0.70,0.30,
20-05-2007,16,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.80,nr,0.6,nr,1.4,nr,nr,1.30,nr,0.40,0.5,1.00,nr,nr,1.2,nr,nr,0.9,nr,0.80,0.80,nr,nr,0.60,nr,0.70,0.80,
20-05-2007,17,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.60,nr,0.7,nr,1.2,nr,nr,1.00,nr,0.30,0.3,1.00,nr,nr,1.1,nr,nr,1.3,nr,1.00,0.90,nr,nr,0.20,nr,0.70,0.60,
20-05-2007,18,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.50,nr,0.9,nr,1.2,nr,nr,0.80,nr,0.30,0.2,1.00,nr,nr,1.0,nr,nr,1.3,nr,1.00,1.00,nr,nr,0.10,nr,0.70,0.50,
20-05-2007,19,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.90,nr,0.5,nr,0.8,nr,nr,0.30,nr,0.20,0.3,0.90,nr,nr,0.8,nr,nr,1.2,nr,0.80,0.60,nr,nr,0.00,nr,0.50,0.30,
20-05-2007,20,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.00,nr,0.5,nr,0.9,nr,nr,0.50,nr,0.30,0.3,1.10,nr,nr,0.9,nr,nr,1.4,nr,0.80,0.60,nr,nr,0.00,nr,0.70,0.40,
20-05-2007,21,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.00,nr,0.8,nr,1.1,nr,nr,0.70,nr,0.40,0.4,1.40,nr,nr,1.0,nr,nr,1.7,nr,0.90,0.70,nr,nr,0.20,nr,0.90,0.80,
20-05-2007,22,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.50,nr,1.3,nr,1.3,nr,nr,0.80,nr,0.70,0.3,1.60,nr,nr,1.1,nr,nr,1.4,nr,0.90,1.00,nr,nr,0.30,nr,1.40,0.80,
20-05-2007,23,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.90,nr,1.0,nr,1.2,nr,nr,0.70,nr,0.50,0.4,1.20,nr,nr,1.2,nr,nr,1.3,nr,0.60,0.90,nr,nr,0.20,nr,1.10,0.70,
20-05-2007,24,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.70,nr,0.8,nr,1.2,nr,nr,0.60,nr,0.10,0.3,1.60,nr,nr,1.1,nr,nr,1.0,nr,0.50,0.60,nr,nr,0.30,nr,0.80,0.60,
21-05-2007,1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.60,nr,1.0,nr,1.4,nr,nr,0.80,nr,0.00,0.1,1.10,nr,nr,0.8,nr,nr,0.6,nr,0.60,0.70,nr,nr,0.40,nr,0.80,0.60,
21-05-2007,2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.60,nr,1.2,nr,1.4,nr,nr,0.90,nr,0.10,0.1,1.10,nr,nr,0.7,nr,nr,0.7,nr,0.50,0.80,nr,nr,0.20,nr,0.80,0.60,
21-05-2007,3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.60,nr,1.2,nr,1.4,nr,nr,1.00,nr,0.20,0.0,1.20,nr,nr,0.6,nr,nr,0.6,nr,0.50,0.80,nr,nr,0.00,nr,0.70,0.90,
